127.0.0.1 - - [16/Mar/2022:18:23:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:23:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2204
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:23:41 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:23:41 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:23:56 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 320
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:23:56 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:23:56 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1499
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:23:56 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:23:56 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:23:58 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2267
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:23:58 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:23:58 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:24:00 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:24:00 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:24:00 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:24:05 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 500 40767
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:30:34 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:30:34 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:30:35 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2022:18:30:38 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 500 40942
